,0,1,2,3,4,5
0,0.00040551500405515005,1.8170651490538543e-07,0.0004033884630899556,3.6516434403885637e-07,3.6324940395313423e-07,0.5000198233500969
1,0.00040551500405515005,1.731192840340394e-07,0.0004037141703673799,3.476339511831548e-07,3.4609015890902696e-07,0.5000094592749424
2,0.0,0.0,0.0,0.0,0.0,0.4999993419634823
3,0.0,0.0,0.0,0.0,0.0,0.4999994242180472
4,0.0,0.0,0.0,0.0,0.0,0.49999925970891745
5,0.0,0.0,0.0,0.0,0.0,0.49999967098174125
6,0.0,0.0,0.0,0.0,0.0,0.4999994242180472
7,0.0,0.0,0.0,0.0,0.0,0.499998190399576
8,0.0,0.0,0.0,0.0,0.0,0.4999994242180472
9,0.0,0.0,0.0,0.0,0.0,0.499998190399576
10,0.0,0.0,0.0,0.0,0.0,0.49999613403545823
